,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
0,Cascade Village Mall Across From Target,Pizza Place,Bend,US,44.10266476,-121.3007971,22.5,15.5,Bianca Pizza,Little Pizza Paradise,97701,OR
1,Cascade Village Mall Across From Target,Pizza Place,Bend,US,44.10266476,-121.3007971,18.95,18.95,Cheese Pizza,Little Pizza Paradise,97701,OR
2,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,34.06456347,-118.46901729999999,12.0,12.0,"Pizza, Margherita",The Brentwood,90049,Brentwood
3,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,34.06456347,-118.46901729999999,13.0,13.0,"Pizza, Mushroom",The Brentwood,90049,Brentwood
4,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,34.06456347,-118.46901729999999,13.0,13.0,"Pizza, Puttenesca",The Brentwood,90049,Brentwood
5,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,34.06456347,-118.46901729999999,15.0,15.0,"Pizza, Salami Piccante",The Brentwood,90049,Brentwood
6,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,34.06456347,-118.46901729999999,15.0,15.0,"Pizza, White Truffle Meat Sauce",The Brentwood,90049,Brentwood
7,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,34.1017424,-118.30197290000001,10.99,7.99,Cheese Pizza,Bravo Pizza Hollywood,90027,Los Feliz
8,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,34.1017424,-118.30197290000001,11.99,7.99,Hawaiian Pizza,Bravo Pizza Hollywood,90027,Los Feliz
9,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,34.1017424,-118.30197290000001,16.99,11.99,Meat Lover Pizza,Bravo Pizza Hollywood,90027,Los Feliz
10,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,34.1017424,-118.30197290000001,5.99,5.99,Pizza Sub,Bravo Pizza Hollywood,90027,Los Feliz
11,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,34.1017424,-118.30197290000001,5.99,5.99,Super Pizza Sub,Bravo Pizza Hollywood,90027,Los Feliz
12,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,34.1017424,-118.30197290000001,16.99,10.99,Veggie Pizza,Bravo Pizza Hollywood,90027,Los Feliz
13,801 Saint Emanuel St,"Bar,Beer Garden,Sports Bar,Sports Bar, Bar, and Beer Garden",Houston,US,29.75247947,-95.35416442,9.95,9.95,Create Your Own Pizza,Lucky's Pub,77003,TX
14,478 South St,"American Restaurant, Seafood Restaurant, and French Restaurant",Hyannis,US,41.64827787,-70.29134463,8.95,8.95,Cheese Pizza,Roadhouse Cafe,2601,MA
15,478 South St,"American Restaurant, Seafood Restaurant, and French Restaurant",Hyannis,US,41.64827787,-70.29134463,10.95,10.95,Pepperoni Pizza,Roadhouse Cafe,2601,MA
17,1 N University Hl,"University,University University",Provo,US,40.25083927,-111.64926770000001,19.95,15.71,Mexican Pizza Dip,Brigham Young University,84602,UT
21,200 E Chestnut St,"Italian Restaurant,Restaurant,Italian Restaurant Streeterville",Chicago,US,41.89854289,-87.6219955,10.99,10.99,Pizza Margherita,Francesca's On Chestnut,60611,Ontario Street
22,200 E Chestnut St,"Italian Restaurant,Restaurant,Italian Restaurant Streeterville",Chicago,US,41.89854289,-87.6219955,10.99,10.99,Pizza Margherita,Francesca's On Chestnut,60611,Ontario Street
28,145 E Gay St,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",West Chester,US,39.961929999999995,-75.60276,2.59,2.59,Pizza Bagel (plain),Country Bagel Bakery,19380,PA
29,145 E Gay St,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",West Chester,US,39.961929999999995,-75.60276,3.29,3.29,Pizza Bagel With Mushroom,Country Bagel Bakery,19380,PA
30,145 E Gay St,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",West Chester,US,39.961929999999995,-75.60276,3.29,3.29,Pizza Bagel With Pepperoni,Country Bagel Bakery,19380,PA
31,145 E Gay St,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",West Chester,US,39.961929999999995,-75.60276,3.59,3.59,Pizza Bagel With Pepperoni and Mushroom,Country Bagel Bakery,19380,PA
33,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Bbq Chicken Pizza,Giovanni's Pizza and Pasta,92584,CA
34,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Breakfast Pizza,Giovanni's Pizza and Pasta,92584,CA
35,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Cadillac Pizza,Giovanni's Pizza and Pasta,92584,CA
36,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Hawaiin Pizza,Giovanni's Pizza and Pasta,92584,CA
37,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Pesto Chicken Pizza,Giovanni's Pizza and Pasta,92584,CA
38,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,4.59,4.59,Pizza Bread,Giovanni's Pizza and Pasta,92584,CA
39,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Southwest Pizza,Giovanni's Pizza and Pasta,92584,CA
