,address,categories,primary categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
0,4203 E Kiehl Ave,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Sherwood,US,34.8323,-92.1838,7.98,7.98,Cheese Pizza,Shotgun Dans Pizza,72120,AR
1,25 E Camelback Rd,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Phoenix,US,33.509266,-112.073044,6.0,6.0,Pizza Cookie,Sauce Pizza Wine,85012,AZ
2,3703 Paxton Ave,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Cincinnati,US,39.144883,-84.43268499999999,6.49,6.49,Pizza Blanca,Mios Pizzeria,45209,OH
3,30495 John R Rd,"Pizza,Carry-out food,Pizza Place,Restaurants",Accommodation & Food Services,Madison Heights,US,42.516669,-83.10663000000001,5.99,5.99,Small Pizza,Hungry Howies Pizza,48071,MI
4,3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,US,39.28663,-76.56698399999999,5.49,5.49,Pizza Sub,Spartan Pizzeria,21224,MD
5,3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,US,39.28663,-76.56698399999999,10.99,10.99,White Pizza,Spartan Pizzeria,21224,MD
6,1834 Euclid Ave,Pizza Place,Accommodation & Food Services,Berkeley,US,37.875496000000005,-122.260345,4.99,4.99,Two Topping Pizza,La Vals,94709,CA
7,1834 Euclid Ave,Pizza Place,Accommodation & Food Services,Berkeley,US,37.875496000000005,-122.260345,5.39,5.39,Three Or More Topping Pizza,La Vals,94709,CA
8,4819 Kerry Forest Pkwy,Pizza Place,Accommodation & Food Services,Tallahassee,US,30.537096999999996,-84.21515600000001,2.5,2.5,Pizza,Brickyard Pizza,32309,FL
9,4819 Kerry Forest Pkwy,Pizza Place,Accommodation & Food Services,Tallahassee,US,30.537096999999996,-84.21515600000001,11.99,11.99,Pizza,Brickyard Pizza,32309,FL
10,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,42.912878000000006,-85.566939,7.43,7.43,Kids Cheese Pizza,Carrabbas Italian Grill,49512,MI
11,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,42.912878000000006,-85.566939,18.21,18.21,Create Your Own Pizza,Carrabbas Italian Grill,49512,MI
12,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,42.912878000000006,-85.566939,15.92,15.92,Prosciutto Arugula Pizza,Carrabbas Italian Grill,49512,MI
13,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,42.912878000000006,-85.566939,7.43,7.43,Kids Pepperoni Pizza,Carrabbas Italian Grill,49512,MI
14,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,34.137502000000005,-117.86533100000001,22.0,22.0,Three Cheese Pizza,Domenicos Jr,91741,CA
15,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,34.137502000000005,-117.86533100000001,11.5,11.5,Three Cheese Pizza,Domenicos Jr,91741,CA
16,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,34.137502000000005,-117.86533100000001,7.0,7.0,Pizza Sandwich,Domenicos Jr,91741,CA
17,965 N Resler Dr,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,El Paso,US,31.862409000000003,-106.558431,5.0,5.0,HotNReady Large Pizza,Little Caesars Pizza,79912,TX
