,address,city,latitude,longitude,name,postal_code,review_count,stars,state
13,5981 Andrews Rd,Mentor-on-the-Lake,41.70852,-81.359556,Marco's Pizza,44060,16,4.0,OH
135,"Artisan Hotel, 1501 W Sahara Ave",Las Vegas,36.1436722,-115.1697916,Artisan Fine Dining Room,89102,3,2.0,NV
149,3843 Bloor Street W,Etobicoke,43.6406266,-79.5389165,Domino's Pizza,M9B 1K9,5,3.0,ON
217,300 Mock Rd,Davidson,35.5008943,-80.8540364,Davidson Pizza Company,28036,23,3.5,NC
254,5650 Yonge Street,North York,43.7801785,-79.416408,Piazza Manna,M2M 4G3,3,3.5,ON
273,1008 E Camelback Rd,Phoenix,33.50951,-112.060238,Oregano's Pizza Bistro,85014,563,3.5,AZ
336,1822 Saint Clair Avenue W,Toronto,43.6738288,-79.4627354,Pizza Pan,M6N 1J5,9,3.0,ON
407,540 State St,Madison,43.075131,-89.394445,Gino's Restaurant,53703,38,3.5,WI
494,6720 Sky Pointe Dr,Las Vegas,36.2836689,-115.2702841,Metro Pizza,89131,303,3.5,NV
552,2685 Research Park Dr,Fitchburg,43.0003778,-89.4258729,The Roman Candle Pizzeria,53711,56,3.0,WI
602,667 College Street,Toronto,43.6549406,-79.4168398,The Standard Pizza & Pasta Bar,M6G 1B9,50,3.0,ON
630,940 College Street,Toronto,43.6536812,-79.4265904,Levetto,M6H 1A5,60,4.0,ON
641,997 Dupont Street,Toronto,43.6698988,-79.4315486,PICEA997,M6H 1Z5,32,3.0,ON
674,5344 Pearl Rd,Parma,41.4155836,-81.731971,Jet's Pizza,44129,22,4.0,OH
676,"11440 Braeside Drive SW, Bay 30",Calgary,50.9529899458,-114.116695554,Sammy's World's Greatest Pizza - Braeside Location,T2W 3E4,11,4.0,AB
681,"9343 E Shea Blvd, Ste 100",Scottsdale,33.5813628,-111.8796351,S & V Urban Italian,85260,105,4.0,AZ
684,109 Curry Hollow Rd,Pittsburgh,40.3398763,-79.9675504,Showcase Pizza,15236,8,3.0,PA
688,12286 Symons Valley Road NW,Calgary,51.1638004829,-114.1261184399,Boston Pizza,T3P 0A3,18,2.5,AB
693,2535 Las Vegas Blvd S,Las Vegas,36.1423694,-115.156034,800 Degrees,89109,296,3.5,NV
717,115 Federal St,Pittsburgh,40.4471068992,-80.004138972,Slice On Broadway,15212,43,4.0,PA
768,934 College St,Toronto,43.6537865,-79.4261354,Brass Taps Pizza Pub,M6H 1A4,34,3.5,ON
813,942 Penn Ave,Pittsburgh,40.4439496,-79.9964366,Sienna Mercato,15222,752,4.0,PA
815,"8480 S Las Vegas Blvd, Ste 110",Las Vegas,36.0357393,-115.171471,Deli Pizza Cafe,89123,29,3.0,NV
816,18059-8 W Catawba Ave,Cornelius,35.4596408,-80.8889111,Buscemis Pizza,28031,4,4.0,NC
890,2401 Scranton Rd,Cleveland,41.4794737,-81.6943074,Pizza Pan,44113,5,2.0,OH
914,100-5170 Yonge Street,North York,43.769460064,-79.4130655378,Boston Pizza,M2N 0G1,32,2.0,ON
926,"7001 N Scottsdale Rd, Ste 184",Paradise Valley,33.5394631012,-111.924161911,The Cove Trattoria,85253,170,4.0,AZ
937,4743 N 20th St,Phoenix,33.5073476,-112.0376461,Pizzeria Bianco,85016,579,3.5,AZ
941,5061 E Sahara Ave,Las Vegas,36.1438977,-115.0641604,Marcos Pizza,89142,39,3.5,NV
949,228 Queen Street W,Toronto,43.6503226,-79.3900762,Pizza Pizza,M5V 1Z6,12,2.0,ON
1016,3903 Boulvard Lévesque Ouest,Laval,45.5340695,-73.7412219,Ouest Antonio's,H7W 2P1,12,3.5,QC
1052,"3950 W Ray Rd, Ste 1",Chandler,33.3212854,-111.9102205,Jimmy & Joe's Pizzeria,85226,140,3.5,AZ
1060,1 Boggs Ave,Pittsburgh,40.4267793,-80.005652,La Tavola Italiana,15211,132,3.5,PA
1065,222 1st St,Aspinwall,40.4904256,-79.9040956,Casa Del Sole Pizza,15215,18,4.0,PA
1166,7150 S Durango Dr,Las Vegas,36.0583571386,-115.2784112221,Tony Big's Pizza N Pasta,89113,106,3.0,NV
1170,13619 Detroit Ave,Lakewood,41.4851676,-81.7871629,Grab-N-Go Pizza Express,44107,19,4.0,OH
1208,"7291 S Eastern Ave, Ste A",Las Vegas,36.0574675327,-115.1207419292,Einstein Bros Bagels,89119,82,2.5,NV
1299,1039 Hamil Rd,Verona,40.5024446,-79.8125826,Pizza Ranchini,15147,4,3.0,PA
